"dy [cm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.2,5.65,0,-134.4,-4.07337734544105
3.2,5.65,0,-134.3,-4.0540275981193
3.2,5.65,0,-134.2,-4.03455600789103
3.2,5.65,0,-134.1,-4.01496518204755
3.2,5.65,0,-134,-3.99525770683021
3.2,5.65,0,-133.9,-3.97543614692329
3.2,5.65,0,-133.8,-3.95550304497318
3.2,5.65,0,-133.7,-3.93546092113365
3.2,5.65,0,-133.6,-3.91531227263659
3.2,5.65,0,-133.5,-3.89505957338788
3.2,5.65,0,-133.4,-3.87470527358791
3.2,5.65,0,-133.3,-3.85425179937623
3.2,5.65,0,-133.2,-3.83370155249978
3.2,5.65,0,-133.1,-3.81305691000437
3.2,5.65,0,-133,-3.79232022394868
3.2,5.65,0,-132.9,-3.7714938211405
3.2,5.65,0,-132.8,-3.75058000289445
3.2,5.65,0,-132.7,-3.72958104481079
3.2,5.65,0,-132.6,-3.70849919657486
3.2,5.65,0,-132.5,-3.68733668177638
3.2,5.65,0,-132.4,-3.66609569774834
3.2,5.65,0,-132.3,-3.64477841542472
3.2,5.65,0,-132.2,-3.6233869792167
3.2,5.65,0,-132.1,-3.60192350690667
3.2,5.65,0,-132,-3.5803900895596
3.2,5.65,0,-131.9,-3.55878879145119
3.2,5.65,0,-131.8,-3.53712165001228
3.2,5.65,0,-131.7,-3.51539067578909
3.2,5.65,0,-131.6,-3.49359785241859
3.2,5.65,0,-131.5,-3.47174513661859
3.2,5.65,0,-131.4,-3.44983445819211
3.2,5.65,0,-131.3,-3.42786772004541
3.2,5.65,0,-131.2,-3.40584679821915
3.2,5.65,0,-131.1,-3.38377354193242
3.2,5.65,0,-131,-3.3616497736388
3.2,5.65,0,-130.9,-3.33947728909435
3.2,5.65,0,-130.8,-3.31725785743675
3.2,5.65,0,-130.7,-3.29499322127531
3.2,5.65,0,-130.6,-3.27268509679137
3.2,5.65,0,-130.5,-3.25033517384855
3.2,5.65,0,-130.4,-3.22794511611257
3.2,5.65,0,-130.3,-3.20551656118
3.2,5.65,0,-130.2,-3.18305112071579
3.2,5.65,0,-130.1,-3.16055038059893
3.2,5.65,0,-130,-3.13801590107595
3.2,5.65,0,-129.9,-3.11544921692188
3.2,5.65,0,-129.8,-3.09285183760822
3.2,5.65,0,-129.7,-3.07022524747761
3.2,5.65,0,-129.6,-3.04757090592488
3.2,5.65,0,-129.5,-3.02489024758389
3.2,5.65,0,-129.4,-3.00218468252014
3.2,5.65,0,-129.3,-2.97945559642858
3.2,5.65,0,-129.2,-2.95670435083645
3.2,5.65,0,-129.1,-2.93393228331062
3.2,5.65,0,-129,-2.91114070766937
3.2,5.65,0,-128.9,-2.88833091419816
3.2,5.65,0,-128.8,-2.86550416986915
3.2,5.65,0,-128.7,-2.84266171856409
3.2,5.65,0,-128.6,-2.8198047813006
3.2,5.65,0,-128.5,-2.79693455646108
3.2,5.65,0,-128.4,-2.77405222002454
3.2,5.65,0,-128.3,-2.75115892580074
3.2,5.65,0,-128.2,-2.72825580566645
3.2,5.65,0,-128.1,-2.70534396980381
3.2,5.65,0,-128,-2.68242450694034
3.2,5.65,0,-127.9,-2.65949848459037
3.2,5.65,0,-127.8,-2.63656694929796
3.2,5.65,0,-127.7,-2.61363092688085
3.2,5.65,0,-127.6,-2.5906914226753
3.2,5.65,0,-127.5,-2.56774942178168
3.2,5.65,0,-127.4,-2.5448058893107
3.2,5.65,0,-127.3,-2.5218617706299
3.2,5.65,0,-127.2,-2.49891799161052
3.2,5.65,0,-127.1,-2.47597545887432
3.2,5.65,0,-127,-2.45303506004039
3.2,5.65,0,-126.9,-2.43009766397174
3.2,5.65,0,-126.8,-2.40716412102154
3.2,5.65,0,-126.7,-2.38423526327888
3.2,5.65,0,-126.6,-2.36131190481389
3.2,5.65,0,-126.5,-2.3383948419222
3.2,5.65,0,-126.4,-2.31548485336852
3.2,5.65,0,-126.3,-2.29258270062928
3.2,5.65,0,-126.2,-2.26968912813423
3.2,5.65,0,-126.1,-2.24680486350697
3.2,5.65,0,-126,-2.22393061780413
3.2,5.65,0,-125.9,-2.20106708575326
3.2,5.65,0,-125.8,-2.17821494598942
3.2,5.65,0,-125.7,-2.15537486129017
3.2,5.65,0,-125.6,-2.13254747880909
3.2,5.65,0,-125.5,-2.10973343030761
3.2,5.65,0,-125.4,-2.08693333238521
3.2,5.65,0,-125.3,-2.06414778670789
3.2,5.65,0,-125.2,-2.04137738023477
3.2,5.65,0,-125.1,-2.01862268544289
3.2,5.65,0,-125,-1.99588426055009
3.2,5.65,0,-124.9,-1.97316264973594
3.2,5.65,0,-124.8,-1.95045838336063
3.2,5.65,0,-124.7,-1.92777197818203
3.2,5.65,0,-124.6,-1.90510393757032
3.2,5.65,0,-124.5,-1.88245475172089
3.2,5.65,0,-124.4,-1.85982489786484
3.2,5.65,0,-124.3,-1.83721484047752
